Scenario;Country;Indicator;Energy_Type;2023;2030;2050;;;;
NZE;United States;Capacity factor  (%);Solar PV;20;22;23;;;;
NZE;United States;Capacity factor  (%);Wind onshore;42;43;44;;;;
NZE;United States;Capacity factor  (%);Wind offshore;41;46;49;;;;
NZE;United States;Fuel, CO₂, O&M (USD/MWh);Nuclear;30;30;30;;;;
NZE;United States;Fuel, CO₂, O&M (USD/MWh);Coal;95;160;220;;;;
NZE;United States;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;55;85;110;;;;
NZE;United States;Fuel, CO₂, O&M (USD/MWh);Solar PV;10;10;10;;;;
NZE;United States;Fuel, CO₂, O&M (USD/MWh);Wind onshore;10;10;10;;;;
NZE;United States;Fuel, CO₂, O&M (USD/MWh);Wind offshore;35;25;15;;;;
NZE;United States;LCOE (USD/MWh);Nuclear;110;110;110;;;;
NZE;United States;LCOE (USD/MWh);Coal;195;n.a.;n.a.;;;;
NZE;United States;LCOE (USD/MWh);Gas CCGT;75;120;n.a.;;;;
NZE;United States;LCOE (USD/MWh);Solar PV;55;30;25;;;;
NZE;United States;LCOE (USD/MWh);Wind onshore;40;35;35;;;;
NZE;United States;LCOE (USD/MWh);Wind offshore;125;75;50;;;;
NZE;European Union;Capital costs (USD/kW);Nuclear;6600;5100;4500;;;;
NZE;European Union;Capital costs (USD/kW);Coal;2000;2000;2000;;;;
NZE;European Union;Capital costs (USD/kW);Gas CCGT;1000;1000;1000;;;;
NZE;European Union;Capital costs (USD/kW);Solar PV;750;460;320;;;;
NZE;European Union;Capital costs (USD/kW);Wind onshore;1630;1530;750;;;;
NZE;European Union;Capital costs (USD/kW);Wind offshore;3120;2140;1440;;;;
NZE;European Union;Capacity factor  (%);Nuclear;70;75;75;;;;
NZE;European Union;Capacity factor  (%);Coal;15;n.a.;n.a.;;;;
NZE;European Union;Capacity factor  (%);Gas CCGT;20;10;n.a.;;;;
NZE;European Union;Capacity factor  (%);Solar PV;14;14;14;;;;
NZE;European Union;Capacity factor  (%);Wind onshore;29;30;30;;;;
NZE;European Union;Capacity factor  (%);Wind offshore;50;55;56;;;;
NZE;European Union;Fuel, CO₂, O&M (USD/MWh);Nuclear;35;35;35;;;;
NZE;European Union;Fuel, CO₂, O&M (USD/MWh);Coal;160;185;250;;;;
NZE;European Union;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;120;95;120;;;;
NZE;European Union;Fuel, CO₂, O&M (USD/MWh);Solar PV;10;10;10;;;;
NZE;European Union;Fuel, CO₂, O&M (USD/MWh);Wind onshore;15;15;10;;;;
NZE;European Union;Fuel, CO₂, O&M (USD/MWh);Wind offshore;15;10;10;;;;
NZE;European Union;LCOE (USD/MWh);Nuclear;170;135;125;;;;
NZE;European Union;LCOE (USD/MWh);Coal;320;n.a.;n.a.;;;;
NZE;European Union;LCOE (USD/MWh);Gas CCGT;195;230;n.a.;;;;
NZE;European Union;LCOE (USD/MWh);Solar PV;50;35;25;;;;
